,CO_UF_RESIDENCIA,NU_IDADE,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DISLEXIA,IN_DISCALCULIA,IN_SABATISTA,IN_GESTANTE,IN_IDOSO,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
23,11,21,3,1,1,4,1,,0,,0,0,0,0,0,0,0,0,1,1,1,481.9,534.7,563.2,1,1.0,120.0,120.0,80.0,120.0,120.0,560.0
24,26,18,3,1,1,1,1,,0,,0,0,0,0,0,1,0,0,1,1,1,620.7,706.4,632.3,1,1.0,160.0,160.0,160.0,160.0,160.0,800.0
25,41,20,1,2,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,410.7,460.2,520.1,1,1.0,120.0,120.0,100.0,100.0,80.0,520.0
26,51,19,1,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,603.6,597.1,555.4,0,1.0,160.0,180.0,180.0,160.0,120.0,800.0
27,13,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,425.0,370.3,392.2,1,1.0,120.0,100.0,100.0,100.0,60.0,480.0
28,52,18,2,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,459.9,493.5,468.6,1,1.0,120.0,80.0,80.0,120.0,40.0,440.0
29,35,18,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
30,27,38,2,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
31,29,21,1,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,425.0,413.4,413.9,0,1.0,120.0,80.0,80.0,100.0,80.0,460.0
32,53,18,1,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,610.1,538.2,535.5,1,1.0,140.0,140.0,140.0,140.0,40.0,600.0
33,35,35,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,495.1,564.3,534.2,1,1.0,140.0,120.0,120.0,120.0,80.0,580.0
34,53,19,2,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,575.2,552.6,500.4,1,1.0,140.0,160.0,140.0,120.0,140.0,700.0
35,29,39,1,1,4,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,470.2,577.3,514.6,1,1.0,100.0,100.0,100.0,100.0,80.0,480.0
36,33,15,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,443.0,508.8,510.6,0,1.0,120.0,140.0,120.0,120.0,120.0,620.0
37,33,19,1,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,432.8,476.2,439.4,0,1.0,120.0,100.0,100.0,120.0,100.0,540.0
38,15,19,3,1,3,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,463.5,524.8,386.3,1,1.0,120.0,120.0,120.0,120.0,80.0,560.0
39,23,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,607.4,641.6,593.9,1,1.0,160.0,160.0,180.0,180.0,160.0,840.0
40,43,18,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,477.2,563.5,520.3,1,1.0,100.0,120.0,100.0,120.0,60.0,500.0
41,35,34,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,391.9,552.9,468.2,0,1.0,120.0,80.0,100.0,100.0,0.0,400.0
42,23,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,520.6,552.0,532.1,1,1.0,120.0,80.0,100.0,120.0,80.0,500.0
43,21,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,438.9,525.9,516.4,0,1.0,100.0,100.0,100.0,120.0,20.0,440.0
44,23,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
45,23,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,457.8,463.3,453.0,1,1.0,100.0,80.0,60.0,80.0,40.0,360.0
46,31,20,3,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,524.9,533.9,526.8,1,1.0,140.0,120.0,120.0,120.0,40.0,540.0
47,41,17,1,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,478.4,579.6,509.0,1,1.0,120.0,100.0,80.0,120.0,40.0,460.0
48,31,26,1,1,1,8,1,,0,,0,0,0,0,0,0,0,0,1,1,1,459.8,551.3,505.2,0,1.0,160.0,140.0,140.0,120.0,180.0,740.0
49,42,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,435.8,505.8,534.4,1,1.0,100.0,120.0,80.0,100.0,100.0,500.0
50,24,19,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,0,598.5,340.3,,1,,,,,,,
51,35,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,482.4,491.8,,0,,,,,,,
52,23,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,480.1,399.4,481.7,1,1.0,120.0,80.0,80.0,120.0,40.0,440.0
53,33,22,1,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,565.4,600.8,625.4,0,1.0,160.0,160.0,120.0,120.0,160.0,720.0
54,26,21,3,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,477.1,561.7,522.8,0,1.0,120.0,120.0,120.0,120.0,100.0,580.0
55,33,18,2,1,2,0,2,1.0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,462.1,574.2,511.2,0,1.0,160.0,160.0,160.0,160.0,160.0,800.0
56,52,18,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,403.5,600.2,587.4,1,1.0,160.0,180.0,200.0,180.0,160.0,880.0
57,32,18,1,1,2,0,2,3.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,395.6,436.1,510.3,0,1.0,120.0,120.0,120.0,80.0,0.0,440.0
58,23,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,495.1,373.9,476.8,1,1.0,100.0,120.0,80.0,80.0,40.0,420.0
59,31,19,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
60,21,22,3,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,418.7,419.8,471.7,0,1.0,140.0,100.0,120.0,120.0,120.0,600.0
61,23,21,3,2,1,3,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
62,35,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
63,17,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
64,15,37,3,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
65,13,32,3,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,436.0,489.6,512.5,0,1.0,120.0,120.0,80.0,120.0,40.0,480.0
66,26,19,3,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,430.2,557.4,567.0,1,1.0,140.0,120.0,120.0,140.0,120.0,640.0
67,26,16,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,554.4,585.2,563.9,0,1.0,120.0,120.0,120.0,120.0,60.0,540.0
68,31,18,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,581.8,583.3,613.0,1,1.0,140.0,160.0,160.0,140.0,160.0,760.0
69,31,18,4,1,3,0,1,,1,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
70,13,17,3,2,3,0,1,,1,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
71,42,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,1,0,0,1,1,1,396.1,522.2,471.8,0,1.0,120.0,100.0,80.0,100.0,40.0,440.0
72,31,18,2,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,489.0,488.4,497.6,1,1.0,100.0,100.0,100.0,80.0,40.0,420.0
73,52,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,618.8,637.4,540.5,1,1.0,160.0,180.0,160.0,160.0,160.0,820.0
74,23,16,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
75,13,31,3,1,1,10,1,,0,,0,0,0,0,0,1,0,0,1,1,1,511.0,462.6,552.7,0,1.0,120.0,100.0,80.0,100.0,80.0,480.0
76,23,16,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,564.2,576.6,588.7,1,1.0,140.0,120.0,120.0,140.0,120.0,640.0
77,31,21,2,1,1,4,1,,0,,0,0,0,0,0,0,0,0,1,1,1,463.1,570.4,467.3,1,1.0,120.0,120.0,120.0,120.0,100.0,580.0
78,29,17,2,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,389.5,469.5,441.1,1,1.0,100.0,80.0,80.0,80.0,60.0,400.0
79,25,16,2,1,2,0,3,1.0,0,4.0,0,0,0,0,0,0,0,0,1,1,1,500.0,550.2,541.4,0,1.0,140.0,140.0,120.0,120.0,120.0,640.0
80,15,20,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,442.8,585.5,508.4,0,1.0,100.0,120.0,100.0,100.0,100.0,520.0
81,33,31,2,1,1,8,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
82,26,24,3,1,1,6,1,,0,,0,0,0,0,0,0,0,0,1,1,1,402.2,511.1,512.1,1,1.0,120.0,120.0,120.0,120.0,120.0,600.0
83,35,28,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,447.0,551.8,537.5,0,1.0,120.0,100.0,100.0,120.0,40.0,480.0
84,29,16,2,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,397.8,408.9,383.3,0,1.0,120.0,120.0,120.0,100.0,80.0,540.0
85,35,18,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,370.4,498.1,554.0,0,1.0,120.0,60.0,80.0,120.0,80.0,460.0
86,43,27,1,1,1,8,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
87,42,15,1,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,544.0,564.4,533.7,0,1.0,160.0,120.0,140.0,140.0,180.0,740.0
88,22,16,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,433.9,446.2,528.5,1,1.0,120.0,120.0,80.0,80.0,80.0,480.0
89,24,31,2,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,422.7,436.2,480.0,1,1.0,120.0,80.0,80.0,80.0,40.0,400.0
90,31,27,3,1,4,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,441.6,608.0,520.8,1,1.0,120.0,100.0,100.0,120.0,120.0,560.0
91,23,16,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,497.9,553.7,544.7,1,1.0,120.0,100.0,80.0,120.0,80.0,500.0
92,25,17,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,416.2,447.2,474.6,1,1.0,100.0,40.0,60.0,40.0,0.0,240.0
93,35,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,435.5,652.2,631.1,0,1.0,160.0,120.0,120.0,120.0,40.0,560.0
94,52,21,1,1,1,4,1,,0,,0,0,0,0,0,0,0,0,1,1,1,397.5,450.7,534.5,1,1.0,120.0,120.0,100.0,120.0,80.0,540.0
95,41,39,2,1,4,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,415.8,463.9,446.3,0,1.0,100.0,60.0,60.0,80.0,20.0,320.0
96,26,15,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,419.9,490.2,533.8,1,1.0,140.0,120.0,120.0,140.0,80.0,600.0
97,35,16,1,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,524.3,581.3,590.0,0,1.0,160.0,120.0,140.0,160.0,120.0,700.0
98,27,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,427.8,451.6,517.4,1,1.0,120.0,120.0,120.0,120.0,100.0,580.0
99,32,30,3,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
100,35,17,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,451.7,546.1,514.2,1,1.0,120.0,120.0,120.0,120.0,40.0,520.0
101,43,21,1,1,4,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,472.1,555.7,389.7,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16,22,0,1,1,5,1,,0,,0,0,0,0,0,0,0,0,1,1,1,457.3,524.1,593.3,0,1.0,120.0,120.0,140.0,120.0,80.0,580.0
103,25,18,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,483.7,503.3,477.6,1,1.0,120.0,120.0,120.0,120.0,80.0,560.0
104,29,34,3,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,487.2,564.7,597.4,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0
105,31,19,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,386.3,482.4,522.2,1,1.0,120.0,80.0,80.0,80.0,40.0,400.0
106,21,16,3,2,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,394.6,506.4,375.2,1,1.0,140.0,80.0,100.0,80.0,40.0,440.0
107,24,29,3,1,1,10,1,,0,,0,0,0,0,0,0,0,0,1,1,1,693.3,716.3,697.1,0,1.0,200.0,200.0,200.0,200.0,180.0,980.0
108,12,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,384.9,495.2,368.8,1,1.0,100.0,80.0,100.0,100.0,20.0,400.0
109,23,22,4,1,3,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
110,24,18,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,455.3,574.0,586.2,1,1.0,160.0,140.0,120.0,180.0,160.0,760.0
111,35,54,1,1,1,10,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
112,35,19,2,2,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
113,41,18,0,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,560.6,578.2,538.6,0,1.0,120.0,120.0,140.0,140.0,120.0,640.0
114,35,40,1,1,2,0,2,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
115,21,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,539.2,537.9,531.7,1,1.0,100.0,80.0,80.0,80.0,60.0,400.0
116,31,26,3,1,1,8,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
117,32,16,2,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,478.5,462.0,513.5,0,1.0,120.0,120.0,120.0,120.0,80.0,560.0
118,11,18,3,1,1,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
119,23,18,5,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,417.8,370.9,468.0,1,1.0,80.0,80.0,80.0,80.0,60.0,380.0
120,35,19,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,583.3,633.2,592.5,0,1.0,100.0,80.0,80.0,100.0,80.0,440.0
121,26,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,422.9,465.7,451.0,1,1.0,80.0,80.0,80.0,80.0,0.0,320.0
122,15,27,5,1,1,4,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
123,32,17,2,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,451.5,569.2,525.8,0,1.0,120.0,160.0,120.0,120.0,120.0,640.0
124,42,18,1,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,427.8,455.2,497.7,1,1.0,120.0,100.0,100.0,100.0,0.0,420.0
125,31,29,1,2,4,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
126,52,18,2,1,1,1,1,,0,,0,0,0,0,0,0,0,0,1,1,1,417.6,507.1,508.7,1,1.0,120.0,120.0,100.0,140.0,160.0,640.0
127,52,18,3,1,2,0,2,3.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,554.2,532.3,532.2,0,1.0,120.0,120.0,120.0,120.0,60.0,540.0
128,26,51,1,1,4,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,451.5,422.8,414.6,1,1.0,80.0,60.0,40.0,80.0,40.0,300.0
129,43,18,2,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,423.0,500.3,471.4,1,1.0,100.0,80.0,100.0,80.0,80.0,440.0
130,33,30,3,1,1,5,1,,0,,0,0,0,0,0,0,0,0,1,1,1,414.7,369.3,472.0,1,1.0,100.0,80.0,60.0,80.0,20.0,340.0
131,35,17,1,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,0,508.8,447.6,,1,,,,,,,
132,43,27,1,1,4,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
133,32,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,588.6,611.2,590.7,1,1.0,160.0,160.0,180.0,160.0,160.0,820.0
134,22,26,2,1,1,9,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
135,23,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,523.6,613.2,555.4,1,1.0,160.0,160.0,180.0,160.0,100.0,760.0
136,31,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,411.4,390.7,526.1,0,1.0,120.0,120.0,80.0,80.0,40.0,440.0
137,41,21,1,1,1,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
138,41,16,1,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,479.5,602.4,592.7,0,1.0,140.0,120.0,120.0,120.0,80.0,580.0
139,27,21,3,2,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,458.9,515.6,532.0,0,1.0,120.0,100.0,120.0,100.0,100.0,540.0
140,33,18,1,1,1,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
141,23,20,4,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,480.2,499.6,476.6,1,1.0,100.0,80.0,80.0,100.0,20.0,380.0
142,43,35,3,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,436.4,565.2,491.5,1,1.0,100.0,120.0,80.0,80.0,80.0,460.0
143,35,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,445.7,591.2,513.7,0,1.0,120.0,140.0,120.0,120.0,20.0,520.0
144,23,15,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,453.2,593.1,511.1,0,1.0,100.0,100.0,100.0,120.0,100.0,520.0
145,41,19,1,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,438.5,536.0,574.1,1,1.0,120.0,140.0,120.0,100.0,80.0,560.0
146,31,16,2,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,409.2,523.1,558.8,0,1.0,100.0,80.0,80.0,80.0,40.0,380.0
147,29,19,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,399.8,521.1,434.0,1,1.0,120.0,120.0,100.0,100.0,80.0,520.0
148,26,20,3,1,1,3,1,,0,,0,0,0,0,0,0,0,0,1,1,1,494.3,555.8,562.9,0,1.0,160.0,160.0,160.0,160.0,80.0,720.0
149,35,24,1,1,1,4,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
150,42,17,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,483.6,589.9,538.7,1,1.0,140.0,100.0,120.0,120.0,100.0,580.0
151,26,16,3,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,429.3,553.5,382.6,1,1.0,120.0,120.0,80.0,80.0,120.0,520.0
152,27,23,3,1,1,4,1,,0,,0,0,0,0,0,0,0,0,1,1,1,400.1,429.7,416.5,1,1.0,120.0,100.0,80.0,80.0,120.0,500.0
153,50,19,1,1,3,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
154,52,17,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,463.4,556.5,552.3,1,1.0,120.0,120.0,100.0,120.0,100.0,560.0
155,42,16,1,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,558.3,659.7,592.4,0,1.0,120.0,120.0,120.0,120.0,40.0,520.0
156,15,30,3,1,1,9,1,,0,,0,0,0,0,0,0,0,0,1,1,1,442.8,526.9,446.5,1,1.0,120.0,80.0,80.0,120.0,20.0,420.0
157,35,25,1,1,1,4,1,,0,,0,0,0,0,0,0,0,0,1,1,1,467.0,541.5,561.6,1,1.0,120.0,120.0,120.0,140.0,60.0,560.0
158,29,16,4,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,430.1,490.0,415.3,1,1.0,100.0,120.0,100.0,80.0,60.0,460.0
159,31,20,3,1,1,2,1,,0,,0,0,0,0,0,0,0,0,1,1,1,480.4,531.9,484.3,1,1.0,120.0,120.0,120.0,120.0,80.0,560.0
160,22,15,2,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,495.0,576.5,586.6,1,1.0,120.0,120.0,120.0,140.0,120.0,620.0
161,23,18,3,1,3,0,1,,0,,0,0,0,0,0,0,0,0,1,1,1,395.2,373.1,496.2,0,1.0,80.0,80.0,60.0,80.0,40.0,340.0
162,17,22,0,1,1,5,1,,0,,0,0,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,
163,43,20,1,2,1,2,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,
164,26,16,4,1,3,0,1,,1,,0,0,0,0,0,0,0,0,1,1,1,445.6,562.1,493.6,1,1.0,80.0,80.0,60.0,80.0,20.0,320.0
165,35,25,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,394.4,405.2,438.4,0,1.0,80.0,80.0,120.0,80.0,40.0,400.0
166,29,20,1,1,3,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,
167,35,18,3,1,2,0,2,1.0,0,2.0,0,0,0,0,0,0,0,0,1,1,1,448.1,437.1,474.2,0,1.0,140.0,80.0,80.0,120.0,40.0,460.0
